category_id,category_title,subcategory_title,product_id,product_title,price,currency,description_plain,description_html,image_url,product_url
7,Appetizers,Appetizers,191125,210-MINESTRONE SOUP,275,₺,Flavor of fresh vegetables,Flavor of fresh vegetables,https://cdn.pardonapp.co/products/0770df60-7332-4f56-ac83-597339b293d8.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,681147,ZUPPA FRESH SOUP,250,₺,"Turmeric fregola, strained yogurt, dill, garlic, dried mint, olive oil, walnut, paprika.","<p>Turmeric fregola, strained yogurt, dill, garlic, dried mint, olive oil, walnut, paprika.</p>",https://cdn.pardonapp.co/products/050d8ec1-d039-4a5d-ba45-ce142ee16192.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587350,EMBER TOMATO SOUP,265,₺,Ember tomato soup with croton bread and mozzarella cheese,"<p><span style=""font-size: 12px;"">Ember tomato soup with croton bread and mozzarella cheese</span><br></p>",https://cdn.pardonapp.co/products/0770df60-7332-4f56-ac83-597339b293d8.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587351,CREAMY MUSHROOM SOUP,265,₺,Creamy mushroom soup with croton bread,"<p><span style=""font-size: 12px;"">Creamy mushroom soup with croton bread</span><br></p>",https://cdn.pardonapp.co/products/016eb26d-d62c-4b5b-b7d8-2181f91dc7bd.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,619645,HOT AND SOUR SOUP WITH TANDOORI MEAT,315,₺,"Cabbage, carrot, iceberg, tandoori meat, soy sauce, ginger, egg","<p>Cabbage, carrot, iceberg, tandoori meat, soy sauce, ginger, egg</p>",https://cdn.pardonapp.co/products/b16dad31-624a-4e2b-8e88-38f0852e3998.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,205986,CHEESE PLATE,630,₺,"Bergama tulum peyniri, eski kaşar, hellim peyniri, gravyer peyniri,isli çerkes peyniri","<p class=""MsoNormal""><span style=""font-size:14.0pt;line-height:107%;mso-bidi-font-weight:
bold"">Bergama tulum peyniri, eski kaşar, hellim peyniri, gravyer peyniri,isli
çerkes peyniri<o:p></o:p></span></p>",https://cdn.pardonapp.co/products/17f2f1d3-bf20-4d30-badc-10bea17f3e7d.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,618647,FRIED PALLE WITH HERBED CHEESE,325,₺,KADAYIF COATED TASTE BALLS WITH MOZERELLA CHEESE AND PARSLEY FILLING WITH PESTO SAUCE,<p>KADAYIF COATED TASTE BALLS WITH MOZERELLA CHEESE AND PARSLEY FILLING</p><p>WITH PESTO SAUCE</p>,https://cdn.pardonapp.co/products/e336e398-8ef4-4091-a26f-049e39754182.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,618648,FRIED PALLE WITH CHEDDAR FILLING,335,₺,KADAYIF COATED CHEDDAR FILLED FLAVOR BALLS WITH SWEET CHILI SAUCE,<p>KADAYIF COATED CHEDDAR FILLED FLAVOR BALLS WITH SWEET CHILI SAUCE<br></p>,https://cdn.pardonapp.co/products/cdb0676e-afc8-4659-946d-d93c2fcda559.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,618649,FRIED PALLE WITH JALEPENO AND CHEESE FILLING,335,₺,KADAYIF COATED JALEPENO AND CHEESE FILLED TASTE BALLS WITH COCKTAIL SAUCE,<p>KADAYIF COATED JALEPENO AND CHEESE FILLED TASTE BALLS WITH COCKTAIL SAUCE</p>,https://cdn.pardonapp.co/products/2dcb542a-3f76-4f9a-8db6-818bd8b76323.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,618796,EDAMAME,315,₺,SOYBEAN SNACK IS SERVED WITH ROCK SALT AVAILABLE WITH SCIENCE UPON REQUEST,"<p><font color=""#474747"" face=""Google Sans, Arial, sans-serif""><span style=""font-size: 16px;"">SOYBEAN SNACK IS SERVED WITH ROCK SALT</span></font></p><p><span style=""font-size: 16px; color: rgb(71, 71, 71); font-family: &quot;Google Sans&quot;, Arial, sans-serif;"">AVAILABLE WITH SCIENCE UPON REQUEST</span></p>",https://cdn.pardonapp.co/products/a1fbdfc4-9781-4379-8305-4d68c622d9a9.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,618797,NYOKKI MIX FRIED CHEESE STICKS,340,₺,4 BREADED CHEDDAR STICKS 4 MOZERELLA STICKS WITH PESTO SAUCE,<p>4 BREADED CHEDDAR STICKS 4 MOZERELLA STICKS WITH PESTO SAUCE<br></p>,https://cdn.pardonapp.co/products/223fb285-0ba8-4d91-af4c-816571724b3a.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587352,SCİLİAN ARANCİNİ,450,₺,"Paneled arancini balls blended with ground beef, roasted eggplant, arugula","<p><span style=""font-size: 12px;"">Paneled arancini balls blended with ground beef, roasted eggplant, arugula</span><br></p>",https://cdn.pardonapp.co/products/cc23c0ba-fd6a-48ef-9153-540a029640bc.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587353,SMOKED SALMON BRUCHETTA,420,₺,"Smoked salmon, labneh, avocado, capers, arugula, cherry tomatoes and parmesan cheese","<p><span style=""font-size: 12px;"">Smoked salmon, labneh, avocado, capers, arugula, cherry tomatoes and parmesan cheese</span><br></p>",https://cdn.pardonapp.co/products/732d7316-3cdc-4b5a-a3b0-0766c11c73a9.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587355,BRUSCHETTA MOZZARELLA WITH DRIED TOMATOES,360,₺,"Grated mozzarella cheese, pesto sauce, dried tomatoes, arugula, cherry tomatoes and parmesan cheese","<p><span style=""font-size: 12px;"">Grated mozzarella cheese, pesto sauce, dried tomatoes, arugula, cherry tomatoes and parmesan cheese</span><br></p>",https://cdn.pardonapp.co/products/732d7316-3cdc-4b5a-a3b0-0766c11c73a9.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587356,SMOKED RIBS BRUSCHETTA,390,₺,"Smoked rib slices, halloumi cheese, arugula, cherry tomatoes and parmesan cheese","<p><span style=""font-size: 12px;"">Smoked rib slices, halloumi cheese, arugula, cherry tomatoes and parmesan cheese</span><br></p>",https://cdn.pardonapp.co/products/732d7316-3cdc-4b5a-a3b0-0766c11c73a9.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587358,MOZZARELLA CAPRESSE,470,₺,"With mozzarella cheese, tomato slice, arugula, pesto sauce in water","<p><span style=""font-size: 12px;"">With mozzarella cheese, tomato slice, arugula, pesto sauce in water</span><br></p>",https://cdn.pardonapp.co/products/2607f014-8cc1-42a7-9e6e-ff72d2e36f49.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587359,CHICKEN MONGALA,470,₺,"Chicken thighs fried and covered with chili paste, with rock 'n' roll sauce","<p><span style=""font-size: 12px;"">Chicken thighs fried and covered with chili paste, with rock 'n' roll sauce</span><br></p>",https://cdn.pardonapp.co/products/df1972b9-8f92-4403-8395-53f005a51076.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587360,NIOKKI MIX BASKET,435,₺,"Sausages, onion rings, crispy chicken balls, finger fries","<p><span style=""font-size: 12px;"">Sausages, onion rings, crispy chicken balls, finger fries</span><br></p>",https://cdn.pardonapp.co/products/cf12f620-d8dc-4a25-a920-49adf237f0c0.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587361,PAN OF MUSSELS,500,₺,"Paneled inner with mussels, arugula, tartar sauce","<p><span style=""font-size: 12px;"">Paneled inner with mussels, arugula, tartar sauce</span><br></p>",https://cdn.pardonapp.co/products/c82341a6-cfb4-418a-88a2-bcbf7d7e5285.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587362,CALAMARI PAN,575,₺,"Panned and fried ring squid with cornmeal, arugula, lemon and tartar sauce","<p><span style=""font-size: 12px;"">Panned and fried ring squid with cornmeal, arugula, lemon and tartar sauce</span><br></p>",https://cdn.pardonapp.co/products/43ae2189-8140-4892-86f5-fbb259bd0985.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587363,CORN TEMPURA,330,₺,"Fresh corn kernels with tempura, with a kind of mayonnaise sauce","<p><span style=""font-size: 12px;"">Fresh corn kernels with tempura, with a kind of mayonnaise sauce</span><br></p>",https://cdn.pardonapp.co/products/4280ea5a-e69e-4fa9-b6f9-1c01dafc6fde.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587364,SHRIMP TEMPURA,580,₺,Tempura jumbo shrimp with rock 'n' roll sauce,"<p><span style=""font-size: 12px;"">Tempura jumbo shrimp with rock 'n' roll sauce</span><br></p>",https://cdn.pardonapp.co/products/8342aecb-2aba-4685-9a4b-6c8cdef34c50.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587365,POTATO PAN,250,₺,Fried fingerling potatoes with cashew spice,"<p><span style=""font-size: 12px;"">Fried fingerling potatoes with cashew spice</span><br></p>",https://cdn.pardonapp.co/products/10155eed-c21f-44fe-93e0-178521e24fce.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587366,POTATO SKILLET WITH CHEDAR SAUCE,275,₺,"Fried fingerling potatoes with cashew spice, cheddar sauce","<p><span style=""font-size: 12px;"">Fried fingerling potatoes with cashew spice, cheddar sauce</span><br></p>",https://cdn.pardonapp.co/products/ba5a1fd6-262b-47d1-b464-2622e11af128.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
7,Appetizers,Appetizers,587440,FÜME ET TABAĞI,810,₺,"Dana jambon,füme kaburga,rose beef,pastırma","<p><span style=""font-size: 18.6667px;"">Dana jambon,füme kaburga,rose beef,pastırma</span><br></p>",https://cdn.pardonapp.co/products/98d733a3-64b8-4c26-8b96-57cce9c7ecbb.webp,https://webmenu.pardonapp.co/en/niyokki-elazig/2387/menu/7
