category_id,category_title,subcategory_title,product_id,product_title,price,currency,description_plain,description_html,image_url,product_url
7,Aperatifler,Aperatifler,191125,210-MINESTRONE ÇORBASI,275,₺,Taze sebzelerin lezzet cümbüşü,Taze sebzelerin lezzet cümbüşü,https://cdn.pardonapp.co/products/0770df60-7332-4f56-ac83-597339b293d8.webp,https://webmenu.pardonapp.co/tr/niyokki-elazig/2387/menu/7
7,Aperatifler,Aperatifler,681147,ZUPPA FRESH ÇORBA,250,₺,"Fregola zerdeçallı, süzme yoğurt, dereotu, sarımsak, kuru nane, zeytinyağı, ceviz, toz kırmızı biber.","<p>Fregola zerdeçallı, süzme yoğurt, dereotu, sarımsak, kuru nane, zeytinyağı, ceviz, toz kırmızı biber.</p>",https://cdn.pardonapp.co/products/050d8ec1-d039-4a5d-ba45-ce142ee16192.webp,https://webmenu.pardonapp.co/tr/niyokki-elazig/2387/menu/7
7,Aperatifler,Aperatifler,587350,KÖZ DOMATES ÇORBASI,265,₺,"Köz domates çorbası, kroton ekmek ve mozzarella peyniri ile","<p><span style=""font-size: 12px;"">Köz domates çorbası, kroton ekmek ve mozzarella peyniri ile</span></p><div><br></div>",https://cdn.pardonapp.co/products/0770df60-7332-4f56-ac83-597339b293d8.webp,https://webmenu.pardonapp.co/tr/niyokki-elazig/2387/menu/7
7,Aperatifler,Aperatifler,587351,KREMALI MANTAR ÇORBASI,265,₺,"Kremalı mantar çorbası, kroton ekmek ile","<p><span style=""font-size: 12px;"">Kremalı mantar çorbası, kroton ekmek ile</span></p><div><br></div>",https://cdn.pardonapp.co/products/016eb26d-d62c-4b5b-b7d8-2181f91dc7bd.webp,https://webmenu.pardonapp.co/tr/niyokki-elazig/2387/menu/7
7,Aperatifler,Aperatifler,619645,TANDIR ETLİ ACILI EKŞİ ÇORBA,315,₺,"Lahana, havuç, aysberg, tandır eti, soya sos, zencefil, yumurta","<p>Lahana, havuç, aysberg, tandır eti, soya sos, zencefil, yumurta</p>",https://cdn.pardonapp.co/products/b16dad31-624a-4e2b-8e88-38f0852e3998.webp,https://webmenu.pardonapp.co/tr/niyokki-elazig/2387/menu/7
7,Aperatifler,Aperatifler,205986,PEYNİR TABAĞI,630,₺,"Bergama tulum peyniri, eski kaşar, hellim peyniri, gravyer peyniri,isli çerkes peyniri","<p class=""MsoNormal""><span style=""font-size:14.0pt;line-height:107%;mso-bidi-font-weight:
bold"">Bergama tulum peyniri, eski kaşar, hellim peyniri, gravyer peyniri,isli
çerkes peyniri<o:p></o:p></span></p>",https://cdn.pardonapp.co/products/17f2f1d3-bf20-4d30-badc-10bea17f3e7d.webp,https://webmenu.pardonapp.co/tr/niyokki-elazig/2387/menu/7
7,Aperatifler,Aperatifler,618647,OTLU PEYNİRLİ KIZARMIŞ PALLE,325,₺,KADAYIF KAPLAMALI MOZERELLA PEYNİR VE MAYDONOZ DOLGULU LEZZET TOPLARI PESTO SOS İLE,<p>KADAYIF KAPLAMALI MOZERELLA PEYNİR VE MAYDONOZ DOLGULU LEZZET TOPLARI</p><p>PESTO SOS İLE</p>,https://cdn.pardonapp.co/products/e336e398-8ef4-4091-a26f-049e39754182.webp,https://webmenu.pardonapp.co/tr/niyokki-elazig/2387/menu/7
7,Aperatifler,Aperatifler,618648,CHEDDAR DOLGULU KIZARMIŞ PALLE,335,₺,KADAYIF KAPLAMALI CHEDDAR DOLGULU LEZZET TOPLARI SWEET CHILI SOS İLE,"<p>KADAYIF KAPLAMALI CHEDDAR DOLGULU LEZZET TOPLARI SWEET CHILI SOS İLE<a jsname=""UWckNb"" href=""https://chefseasons.com/sweet-chili-pet-ambalaj"" data-ved=""2ahUKEwi2zJrLy_eJAxWASvEDHWaYIN8QFnoECE0QAQ"" ping=""/url?sa=t&amp;source=web&amp;rct=j&amp;opi=89978449&amp;url=https://chefseasons.com/sweet-chili-pet-ambalaj&amp;ved=2ahUKEwi2zJrLy_eJAxWASvEDHWaYIN8QFnoECE0QAQ"" style=""background-color: rgb(255, 255, 255); color: var(--JKqx2); text-decoration-line: underline; -webkit-tap-highlight-color: rgba(0, 0, 0, 0.1); outline: 0px; font-family: Arial, sans-serif; font-size: small;""></a></p><br>",https://cdn.pardonapp.co/products/cdb0676e-afc8-4659-946d-d93c2fcda559.webp,https://webmenu.pardonapp.co/tr/niyokki-elazig/2387/menu/7
7,Aperatifler,Aperatifler,618649,JALEPENO VE PEYNİR DOLGULU KIZARMIŞ PALLE,335,₺,KADAYIF KAPLAMALI JALEPENO VE PEYNİR DOLGULU LEZZET TOPLARI KOKTEYL SOS İLE,<p>KADAYIF KAPLAMALI JALEPENO VE PEYNİR DOLGULU LEZZET TOPLARI KOKTEYL SOS İLE</p><p><br></p>,https://cdn.pardonapp.co/products/2dcb542a-3f76-4f9a-8db6-818bd8b76323.webp,https://webmenu.pardonapp.co/tr/niyokki-elazig/2387/menu/7
7,Aperatifler,Aperatifler,618796,EDAMAME,315,₺,SOYA FASULYESİ ATIŞTIRMALIK KAYA TUZU İLE SERVİS EDİLİR İSTEĞE GÖRE ACILI SUNULUR,"<p><span style=""font-size: 16px; color: rgb(71, 71, 71); font-family: &quot;Google Sans&quot;, Arial, sans-serif;"">SOYA FASULYESİ ATIŞTIRMALIK KAYA TUZU İLE SERVİS EDİLİR</span><br></p><p style=""box-sizing: border-box; margin-top: 0px; margin-bottom: 1rem; color: rgb(0, 0, 0); font-family: Poppins; font-size: 12px; font-style: normal; font-variant-ligatures: normal; font-variant-caps: normal; font-weight: 500; letter-spacing: normal; orphans: 2; text-align: left; text-indent: 0px; text-transform: none; white-space: normal; widows: 2; word-spacing: 0px; -webkit-text-stroke-width: 0px; text-decoration-thickness: initial; text-decoration-style: initial; text-decoration-color: initial;""><font color=""#474747"" face=""Google Sans, Arial, sans-serif"" style=""box-sizing: border-box;""><span style=""box-sizing: border-box; font-size: 16px;"">İSTEĞE GÖRE ACILI SUNULUR</span></font></p><p><font color=""#474747"" face=""Google Sans, Arial, sans-serif""></font></p>",https://cdn.pardonapp.co/products/a1fbdfc4-9781-4379-8305-4d68c622d9a9.webp,https://webmenu.pardonapp.co/tr/niyokki-elazig/2387/menu/7
